,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
4162,027970,KOSPI,세하,"펄프, 종이 및 판지 제조업","백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사",1996-07-03,12월,"이제선, 안재호",http://www.seha.co.kr,대구광역시
4165,308170,KOSPI,센트랄모텍,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",2019-11-25,12월,"이동옥, 강태룡",http://www.centralmotek.co.kr,울산광역시
4166,012600,KOSPI,센트럴인사이트,일반 목적용 기계 제조업,"금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매",1990-07-10,12월,김유영,http://www.chunghocomnet.com,서울특별시
4174,068270,KOSPI,셀트리온,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,기우성,http://www.celltrion.com,인천광역시
4186,336370,KOSPI,솔루스첨단소재,전자부품 제조업,"동박, 유압기기 등",2019-10-18,12월,"진대제, 서광벽(각자 대표이사)",http://www.solusadvancedmaterials.com,전라북도
4187,3363701C,KOSPI,솔루스첨단소재 12R,,,,,,,
4188,3363702C,KOSPI,솔루스첨단소재 13PR,,,,,,,
4189,33637K,KOSPI,솔루스첨단소재1우,,,,,,,
4190,33637L,KOSPI,솔루스첨단소재2우B,,,,,,,
4192,248070,KOSPI,솔루엠,전자부품 제조업,"POWER, 3in1 Board, ESL 등",2021-02-02,12월,전성호,http://www.solu-m.com,경기도
4197,004430,KOSPI,송원산업,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",1977-06-25,12월,김충식 대표이사,http://www.songwon.com,울산광역시
4200,017550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,"정석현, 신수근(각자 대표이사)",http://www.soosan.co.kr,경기도
