Date,Close,Open,High,Low,Volume,Change
1987-12-07,478.97,478.97,478.97,478.97,6610000.0,-0.0088
1987-12-08,469.66,469.66,469.66,469.66,6230000.0,-0.0194
1987-12-09,476.59,476.59,476.59,476.59,7700000.0,0.0148
1987-12-10,471.35,471.35,471.35,471.35,11460000.0,-0.011000000000000001
1987-12-11,474.93,474.93,474.93,474.93,9910000.0,0.0076
1987-12-12,474.6,474.6,474.6,474.6,6500000.0,-0.0007000000000000001
1987-12-14,465.36,465.36,465.36,465.36,8880000.0,-0.0195
1987-12-15,472.17,472.17,472.17,472.17,12230000.0,0.0146
1987-12-17,491.47,491.47,491.47,491.47,1410000.0,0.0409
1987-12-18,501.77,501.77,501.77,501.77,4940000.0,0.021
1987-12-19,501.75,501.75,501.75,501.75,7370000.0,-0.0
1987-12-21,490.29,490.29,490.29,490.29,7030000.0,-0.022799999999999997
1987-12-22,502.74,502.74,502.74,502.74,7390000.0,0.0254
1987-12-23,509.04,509.04,509.04,509.04,12220000.0,0.0125
1987-12-24,517.99,517.99,517.99,517.99,15080000.0,0.0176
1987-12-26,525.11,525.11,525.11,525.11,12370000.0,0.0137
1988-01-04,532.04,532.04,532.04,532.04,5770000.0,0.0132
1988-01-05,527.89,527.89,527.89,527.89,11570000.0,-0.0078000000000000005
1988-01-06,538.28,538.28,538.28,538.28,12160000.0,0.0197
1988-01-07,540.28,540.28,540.28,540.28,16379999.999999998,0.0037
1988-01-08,547.69,547.69,547.69,547.69,15740000.0,0.0137
1988-01-09,548.18,548.18,548.18,548.18,12360000.0,0.0009
1988-01-11,552.76,552.76,552.76,552.76,14310000.0,0.0084
1988-01-12,571.29,571.29,571.29,571.29,18090000.0,0.0335
1988-01-13,581.27,581.27,581.27,581.27,21440000.0,0.0175
1988-01-14,578.05,578.05,578.05,578.05,15130000.0,-0.0055000000000000005
1988-01-15,585.89,585.89,585.89,585.89,17130000.0,0.013600000000000001
1988-01-16,589.76,589.76,589.76,589.76,9190000.0,0.0066
1988-01-18,574.49,574.49,574.49,574.49,9980000.0,-0.0259
1988-01-19,576.17,576.17,576.17,576.17,12370000.0,0.0029
1988-01-20,583.07,583.07,583.07,583.07,12780000.0,0.012
1988-01-21,586.96,586.96,586.96,586.96,15370000.0,0.0067
1988-01-22,584.44,584.44,584.44,584.44,11690000.0,-0.0043
1988-01-23,589.83,589.83,589.83,589.83,10200000.0,0.0092
1988-01-25,592.6,592.6,592.6,592.6,13160000.0,0.004699999999999999
1988-01-26,602.32,602.32,602.32,602.32,14920000.0,0.016399999999999998
1988-01-27,615.24,615.24,615.24,615.24,15690000.0,0.0215
1988-01-28,633.38,633.38,633.38,633.38,16469999.999999998,0.029500000000000002
1988-01-29,642.11,642.11,642.11,642.11,16590000.0,0.0138
1988-01-30,633.58,633.58,633.58,633.58,11580000.0,-0.013300000000000001
1988-02-01,653.51,653.51,653.51,653.51,13410000.0,0.0315
1988-02-02,640.88,640.88,640.88,640.88,19430000.0,-0.019299999999999998
1988-02-03,630.41,630.41,630.41,630.41,15290000.0,-0.0163
1988-02-04,632.37,632.37,632.37,632.37,16040000.0,0.0031
1988-02-05,621.26,621.26,621.26,621.26,15160000.0,-0.0176
1988-02-06,633.86,633.86,633.86,633.86,8900000.0,0.0203
1988-02-08,651.42,651.42,651.42,651.42,12300000.0,0.0277
1988-02-09,655.0,655.0,655.0,655.0,14660000.0,0.0055000000000000005
1988-02-10,646.16,646.16,646.16,646.16,10310000.0,-0.013500000000000002
1988-02-11,640.88,640.88,640.88,640.88,10310000.0,-0.008199999999999999
1988-02-12,639.88,639.88,639.88,639.88,10950000.0,-0.0016
1988-02-13,641.16,641.16,641.16,641.16,5460000.0,0.002
1988-02-15,647.56,647.56,647.56,647.56,8980000.0,0.01
1988-02-16,648.95,648.95,648.95,648.95,10390000.0,0.0021
1988-02-17,658.75,658.75,658.75,658.75,10520000.0,0.0151
1988-02-19,668.56,668.56,668.56,668.56,10940000.0,0.0149
1988-02-20,663.03,663.03,663.03,663.03,5710000.0,-0.0083
1988-02-22,658.32,658.32,658.32,658.32,8080000.0,-0.0070999999999999995
